Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),119921979.96968418,"119.921.979,97"
MAE (Mean Absolute Error),95094116.31864357,"95.094.116,32"
MAPE (Mean Absolute % Error),14.181719918848398,"14,18"
