Modelo,RMSE,MAE,MAPE
Redes Neurais,"16.236.065,43","14.152.560,56","33,27"
Holt-Winters,"8.168.754,47","7.018.708,76","15,80"
ARIMA,"6.294.284,50","5.584.629,39","12,33"
