Modelo,RMSE,MAE,MAPE
Redes Neurais,"240.230.093,04","208.817.693,90","11,42"
ARIMA,"127.368.754,28","96.250.007,77","5,81"
Holt-Winters,"100.325.833,58","74.881.691,36","4,49"
