Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),140544833.0406595,"140.544.833,04"
MAE (Mean Absolute Error),107534627.94737947,"107.534.627,95"
MAPE (Mean Absolute % Error),8.836114025490167,"8,84"
