Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),315659875.39004713,"315.659.875,39"
MAE (Mean Absolute Error),303515454.3955468,"303.515.454,40"
MAPE (Mean Absolute % Error),14.43251125846506,"14,43"
