Modelo,RMSE,MAE,MAPE
ARIMA,"18.540.443,10","13.168.231,93","1.204,52"
Holt-Winters,"19.949.668,09","14.955.018,17","1.278,49"
Redes Neurais,"29.497.319,40","20.823.812,39","1.047,40"
