Modelo,RMSE,MAE,MAPE
Redes Neurais,"707.266.088,02","550.426.237,11","6,95"
Holt-Winters,"676.771.041,23","597.521.587,98","8,21"
ARIMA,"551.483.252,25","469.986.992,13","6,28"
