Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),110117174.35949229,"110.117.174,36"
MAE (Mean Absolute Error),98339379.87363474,"98.339.379,87"
MAPE (Mean Absolute % Error),9.450294937225989,"9,45"
