Modelo,RMSE,MAE,MAPE
ARIMA,"20.116.178,40","17.889.644,01","12,95"
Holt-Winters,"29.976.065,16","23.558.967,16","17,09"
Redes Neurais,"42.005.341,14","34.588.165,26","24,14"
