Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),16510604.597603036,"16.510.604,60"
MAE (Mean Absolute Error),14601366.496045092,"14.601.366,50"
MAPE (Mean Absolute % Error),16.49216815715801,"16,49"
