Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),60705598.67503326,"60.705.598,68"
MAE (Mean Absolute Error),47174633.019430645,"47.174.633,02"
MAPE (Mean Absolute % Error),6.660153980674084,"6,66"
