Modelo,RMSE,MAE,MAPE
Redes Neurais,"2.615.484.334,12","2.076.923.185,06","16,50"
ARIMA,"1.716.201.639,57","1.208.673.420,89","9,57"
Holt-Winters,"1.570.564.451,07","1.166.641.568,05","9,49"
