Mês,Valores_Previstos
2025-09,"3.750.490.793,54"
2025-10,"3.715.826.544,87"
2025-11,"4.005.066.498,94"
2025-12,"4.191.445.616,70"
2026-01,"4.282.912.823,32"
2026-02,"4.232.913.967,61"
2026-03,"3.989.403.217,42"
2026-04,"4.107.735.775,04"
2026-05,"3.986.131.960,24"
2026-06,"4.022.260.874,49"
2026-07,"3.870.591.772,38"
2026-08,"4.029.199.885,14"
