Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),72471131.41342308,"72.471.131,41"
MAE (Mean Absolute Error),60245798.266832344,"60.245.798,27"
MAPE (Mean Absolute % Error),8.325419048918121,"8,33"
