Modelo,RMSE,MAE,MAPE
Redes Neurais,"90.195.215,19","65.103.830,93","8,52"
Holt-Winters,"55.664.514,62","42.534.344,67","5,86"
ARIMA,"35.838.424,07","32.508.919,72","4,91"
