Modelo,RMSE,MAE,MAPE
Redes Neurais,"674.162.582,21","491.206.529,53","73,47"
Holt-Winters,"834.600.395,24","549.877.476,41","77,57"
ARIMA,"1.106.338.885,54","660.011.046,59","43,73"
