Modelo,RMSE,MAE,MAPE
Holt-Winters,"2.145.766,96","1.849.876,24","24,25"
ARIMA,"2.177.223,83","1.875.629,61","24,42"
Redes Neurais,"2.321.421,34","1.672.309,98","17,22"
