Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),150396687.2557853,"150.396.687,26"
MAE (Mean Absolute Error),145615551.74626443,"145.615.551,75"
MAPE (Mean Absolute % Error),154.37692010970625,"154,38"
