Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),958343174.5067202,"958.343.174,51"
MAE (Mean Absolute Error),613052962.5453478,"613.052.962,55"
MAPE (Mean Absolute % Error),6.749178105390081,"6,75"
