Modelo,RMSE,MAE,MAPE
Redes Neurais,"62.497.404,85","49.174.169,30","6,93"
ARIMA,"46.066.666,42","34.847.903,81","4,88"
Holt-Winters,"44.061.311,62","36.247.322,12","5,17"
