Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),461284034.60100245,"461.284.034,60"
MAE (Mean Absolute Error),422409416.36605185,"422.409.416,37"
MAPE (Mean Absolute % Error),11.993702033835534,"11,99"
