Modelo,RMSE,MAE,MAPE
Holt-Winters,"116.622.250,05","93.761.278,85","6,42"
ARIMA,"154.312.551,33","125.580.853,95","8,55"
Redes Neurais,"200.173.752,12","175.975.703,53","12,12"
