Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"7.628.094.312,69","7.698.120.866,21","7.681.728.837,19"
2025-10,"7.902.654.202,78","7.497.124.528,96","7.685.157.127,79"
2025-11,"8.057.926.139,89","7.668.491.312,28","7.682.519.046,81"
2025-12,"8.883.703.076,61","8.285.503.935,27","7.681.446.006,56"
2026-01,"7.997.676.107,04","7.802.650.445,50","7.687.863.520,50"
2026-02,"8.145.642.487,04","7.777.659.210,91","7.693.110.262,72"
2026-03,"7.822.623.322,71","7.457.239.487,63","7.692.853.285,80"
2026-04,"8.115.363.814,33","7.880.216.042,91","7.698.469.000,52"
2026-05,"8.231.092.016,05","7.776.385.370,52","7.702.729.847,32"
2026-06,"8.095.586.251,94","7.908.807.498,61","7.704.325.199,29"
2026-07,"8.004.371.926,66","7.856.574.035,96","7.704.109.231,70"
2026-08,"8.321.468.272,26","7.964.954.065,93","7.706.307.353,91"
