Modelo,RMSE,MAE,MAPE
ARIMA,"365.578.413,30","280.276.162,08","5,97"
Holt-Winters,"389.687.706,73","356.955.803,72","7,44"
Redes Neurais,"514.792.832,23","404.221.523,62","7,87"
