Modelo,RMSE,MAE,MAPE
Redes Neurais,"668.485.241,10","668.300.743,82","653,38"
ARIMA,"708.009.645,34","707.869.188,03","691,41"
Holt-Winters,"740.060.475,36","739.180.797,54","719,68"
