Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),401623455.23037946,"401.623.455,23"
MAE (Mean Absolute Error),342862545.6785892,"342.862.545,68"
MAPE (Mean Absolute % Error),7.638607981317529,"7,64"
