Modelo,RMSE,MAE,MAPE
Holt-Winters,"83.962.316,71","74.450.654,89","9,54"
ARIMA,"86.495.179,88","77.994.916,90","10,00"
Redes Neurais,"92.932.990,55","85.151.572,52","10,91"
