Mês,Valores_Previstos
2025-09,"289.565.338,21"
2025-10,"298.109.619,30"
2025-11,"305.880.839,40"
2025-12,"306.786.780,08"
2026-01,"305.012.944,37"
2026-02,"307.493.036,35"
2026-03,"296.363.280,01"
2026-04,"300.437.125,96"
2026-05,"305.980.175,94"
2026-06,"304.562.658,27"
2026-07,"289.987.564,70"
2026-08,"302.260.897,90"
