Modelo,RMSE,MAE,MAPE
Redes Neurais,"286.833.005,87","130.988.795,09","7,31"
Holt-Winters,"97.796.059,93","57.373.752,21","3,49"
ARIMA,"93.410.439,23","84.724.288,20","6,43"
