Mês,Valores_Previstos
2025-09,"494.478.796,69"
2025-10,"533.204.017,41"
2025-11,"691.710.350,91"
2025-12,"726.098.047,18"
2026-01,"742.139.347,21"
2026-02,"744.985.866,28"
2026-03,"592.997.051,14"
2026-04,"685.543.342,84"
2026-05,"729.398.939,59"
2026-06,"709.127.284,35"
2026-07,"501.312.947,20"
2026-08,"557.498.427,32"
