Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),2029844323.8567586,"2.029.844.323,86"
MAE (Mean Absolute Error),1941621191.3169935,"1.941.621.191,32"
MAPE (Mean Absolute % Error),9.94630523912141,"9,95"
