Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"2.430.518.564,41","2.469.965.262,93","2.475.219.439,28"
2025-10,"2.384.341.400,29","2.400.562.807,37","2.475.490.959,11"
2025-11,"2.545.014.235,18","2.440.315.640,64","2.483.713.170,10"
2025-12,"2.724.197.928,31","2.616.327.100,41","2.487.170.776,60"
2026-01,"2.427.904.762,39","2.503.913.990,63","2.483.720.432,86"
2026-02,"2.601.407.582,14","2.606.439.896,55","2.486.651.727,84"
2026-03,"2.438.798.737,78","2.522.790.324,08","2.486.207.747,38"
2026-04,"2.474.680.482,93","2.581.695.727,13","2.489.243.816,51"
2026-05,"2.638.577.422,86","2.629.178.505,67","2.493.865.249,51"
2026-06,"2.557.534.239,21","2.627.273.487,07","2.493.702.551,92"
2026-07,"2.535.801.064,87","2.588.457.050,71","2.493.750.295,60"
2026-08,"2.627.331.633,89","2.664.612.632,33","2.498.118.246,59"
