Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),2319098306.081238,"2.319.098.306,08"
MAE (Mean Absolute Error),1616043002.6868172,"1.616.043.002,69"
MAPE (Mean Absolute % Error),4.750920190682791,"4,75"
