Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"1.151.003,34","985.080,24","867.659,54"
2025-10,"999.490,35","985.080,24","800.993,62"
2025-11,"1.118.354,41","985.080,24","792.285,17"
2025-12,"1.279.368,60","985.080,24","849.709,64"
2026-01,"904.027,39","985.080,24","891.235,44"
2026-02,"900.007,62","985.080,24","918.213,59"
2026-03,"1.220.188,76","985.080,24","925.217,17"
2026-04,"1.048.843,95","985.080,24","934.249,35"
2026-05,"1.567.602,58","985.080,24","958.971,13"
2026-06,"1.025.098,88","985.080,24","978.839,11"
2026-07,"1.307.450,22","985.080,24","980.864,78"
2026-08,"1.127.375,42","985.080,24","989.817,50"
