Modelo,RMSE,MAE,MAPE
Redes Neurais,"56.624.073,83","48.497.593,56","10,65"
ARIMA,"30.775.929,48","25.755.489,11","6,06"
Holt-Winters,"26.877.303,77","24.863.696,32","5,73"
