Mês,Valores_Previstos
2025-09,"194.442.190,29"
2025-10,"203.463.661,45"
2025-11,"207.748.696,57"
2025-12,"398.742.314,15"
2026-01,"104.336.982,64"
2026-02,"207.998.305,24"
2026-03,"209.099.389,11"
2026-04,"208.352.992,00"
2026-05,"212.825.780,69"
2026-06,"210.691.588,57"
2026-07,"214.054.566,06"
2026-08,"211.675.799,46"
