Modelo,RMSE,MAE,MAPE
Holt-Winters,"56.650.554,76","48.037.163,85","7,01"
ARIMA,"56.921.656,21","41.887.523,05","5,75"
Redes Neurais,"101.881.723,59","83.233.588,16","11,63"
