Modelo,RMSE,MAE,MAPE
Holt-Winters,"428.015.248,03","282.394.613,79","9,95"
Redes Neurais,"503.668.009,30","365.051.610,75","13,07"
ARIMA,"513.685.808,76","376.053.017,68","13,54"
