Modelo,RMSE,MAE,MAPE
ARIMA,"232.889.000,63","138.903.328,66","6,23"
Holt-Winters,"232.898.805,15","146.186.838,01","6,60"
Redes Neurais,"341.949.482,03","245.315.055,55","10,71"
