Modelo,RMSE,MAE,MAPE
Redes Neurais,"177.103.386,35","134.538.167,92","11,19"
Holt-Winters,"72.091.807,55","59.204.905,87","5,31"
ARIMA,"59.595.925,51","53.204.529,19","4,95"
