Modelo,RMSE,MAE,MAPE
ARIMA,"247.505.802,13","211.786.337,83","2,93"
Holt-Winters,"314.175.857,01","274.855.062,31","3,92"
Redes Neurais,"881.690.712,90","822.163.638,09","11,33"
