Modelo,RMSE,MAE,MAPE
ARIMA,"75.535.092,33","65.773.990,42","10,72"
Holt-Winters,"80.125.731,76","69.306.580,03","11,41"
Redes Neurais,"130.324.555,76","106.698.676,38","15,21"
