Modelo,RMSE,MAE,MAPE
Redes Neurais,"83.898.549,81","83.893.269,96","1.570,39"
ARIMA,"90.944.004,63","90.874.429,30","1.692,20"
Holt-Winters,"95.608.367,71","95.177.364,28","1.761,43"
