Modelo,RMSE,MAE,MAPE
Holt-Winters,"10.903.388,60","7.901.583,99","3,54"
ARIMA,"11.016.478,19","6.299.493,12","2,37"
Redes Neurais,"35.618.597,55","24.330.196,78","11,45"
