Modelo,RMSE,MAE,MAPE
ARIMA,"20.516.324,03","14.168.946,44","3,17"
Holt-Winters,"24.886.654,66","12.749.572,85","2,50"
Redes Neurais,"56.001.781,00","46.244.925,40","10,75"
