Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),107044936.21035473,"107.044.936,21"
MAE (Mean Absolute Error),96792186.15366681,"96.792.186,15"
MAPE (Mean Absolute % Error),13.249222891405473,"13,25"
