Modelo,RMSE,MAE,MAPE
Holt-Winters,"54.472.540,15","41.242.861,88","6,45"
ARIMA,"55.643.393,92","43.914.326,78","6,96"
Redes Neurais,"152.852.008,10","123.319.047,56","18,37"
