Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),96109833.00227049,"96.109.833,00"
MAE (Mean Absolute Error),60677800.10801002,"60.677.800,11"
MAPE (Mean Absolute % Error),33.89106147126132,"33,89"
