Modelo,RMSE,MAE,MAPE
ARIMA,"21.938.649,37","14.252.398,60","5,41"
Holt-Winters,"35.238.004,26","25.279.525,25","9,95"
Redes Neurais,"82.197.805,39","43.871.020,33","16,30"
