Modelo,RMSE,MAE,MAPE
Holt-Winters,"33.646.840,07","25.529.439,72","6,78"
ARIMA,"36.505.763,78","27.095.641,36","7,69"
Redes Neurais,"46.606.155,05","36.323.995,15","12,78"
