Modelo,RMSE,MAE,MAPE
Redes Neurais,"392.410.299,76","280.521.779,32","7,15"
Holt-Winters,"356.113.556,76","303.428.891,57","8,56"
ARIMA,"338.771.556,84","270.394.919,30","7,42"
