Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),21008163.571595017,"21.008.163,57"
MAE (Mean Absolute Error),11601799.002511917,"11.601.799,00"
MAPE (Mean Absolute % Error),14.58906842461156,"14,59"
