Modelo,RMSE,MAE,MAPE
Redes Neurais,"332.855.458,26","271.245.722,23","8,33"
ARIMA,"236.499.792,60","189.009.796,74","6,06"
Holt-Winters,"189.825.153,00","164.442.242,79","5,36"
