Modelo,RMSE,MAE,MAPE
Redes Neurais,"947.238.150,40","624.141.668,84","6,99"
ARIMA,"559.850.306,46","449.645.261,64","5,26"
Holt-Winters,"433.856.612,75","359.896.131,73","4,23"
