Mês,Valores_Previstos
2025-09,"259.200.782,99"
2025-10,"268.640.288,12"
2025-11,"276.559.395,99"
2025-12,"352.092.605,04"
2026-01,"310.448.872,76"
2026-02,"248.354.929,63"
2026-03,"274.631.545,68"
2026-04,"263.338.185,73"
2026-05,"264.140.702,14"
2026-06,"274.873.011,94"
2026-07,"277.288.833,49"
2026-08,"284.406.214,66"
