Modelo,RMSE,MAE,MAPE
ARIMA,"99.064.422,60","80.291.405,12","3,76"
Holt-Winters,"129.822.603,49","112.092.325,57","5,29"
Redes Neurais,"281.220.780,73","267.523.393,52","12,70"
