Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),412347129.4649017,"412.347.129,46"
MAE (Mean Absolute Error),331259515.4119583,"331.259.515,41"
MAPE (Mean Absolute % Error),6.612230745639149,"6,61"
