Modelo,RMSE,MAE,MAPE
ARIMA,"22.952.476,41","20.370.487,62","7,88"
Holt-Winters,"26.802.041,85","22.107.884,21","8,14"
Redes Neurais,"55.313.176,16","42.677.804,39","15,10"
