Modelo,RMSE,MAE,MAPE
Redes Neurais,"81.859.553,10","51.672.972,89","76,59"
ARIMA,"44.669.144,17","23.243.613,61","40,95"
Holt-Winters,"28.231.067,43","18.955.937,72","27,76"
