Modelo,RMSE,MAE,MAPE
Redes Neurais,"1.858.249.560,32","1.761.461.338,76","9,01"
ARIMA,"568.648.805,53","457.626.572,43","2,36"
Holt-Winters,"497.488.661,59","381.395.944,95","1,99"
