Modelo,RMSE,MAE,MAPE
Redes Neurais,"241.335.198,15","196.701.365,28","8,14"
ARIMA,"153.659.059,80","124.735.520,26","5,20"
Holt-Winters,"114.257.451,16","99.944.705,95","4,41"
