Modelo,RMSE,MAE,MAPE
ARIMA,"43.581.280,04","35.404.534,41","9,21"
Holt-Winters,"45.606.057,02","37.260.637,72","9,88"
Redes Neurais,"48.514.106,75","36.709.674,00","9,70"
