Modelo,RMSE,MAE,MAPE
Holt-Winters,"140.358.846,43","114.333.950,67","5,53"
ARIMA,"199.995.620,09","150.427.028,45","7,06"
Redes Neurais,"202.951.963,27","164.599.577,85","7,86"
