Modelo,RMSE,MAE,MAPE
Holt-Winters,"233.384.564,43","172.801.959,66","4,50"
ARIMA,"278.617.336,71","207.017.680,08","5,31"
Redes Neurais,"367.467.869,67","285.540.980,66","7,34"
